,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
495,4175,4211,both,ELI'S ESSENTIALS,EAT LEXINGTON 87 LLC,EAT LEXINGTON 87 LLC,1291,LEXINGTON AVE,Manhattan,10028,"1291  LEXINGTON AVE, Manhattan, NY",06/23/2020,40.780069,-73.955158,Upper East Side-Carnegie Hill
496,4181,4217,both,Pil pil spanish tapas,Pil Pil spanish tapas inc,Pil Pil spanish tapas inc,265 east,78,Manhattan,10075,"265 east 78, Manhattan, NY",06/23/2020,,,
497,4187,4223,both,JONES WOOD FOUNDRY,BLUE NUN RESTAURANT GROUP LLC,JONES WOOD FOUNDRY,401,East 76th Street,Manhattan,10021,"401 East 76th Street, Manhattan, NY",06/23/2020,40.770255999999996,-73.953771,Lenox Hill-Roosevelt Island
498,4197,4233,sidewalk,Farra,Wine Bar 71 Worth LLC,Farra,71,Worth Street,Manhattan,10013,"71  Worth Street, Manhattan, NY",06/23/2020,40.716815999999994,-74.005664,SoHo-TriBeCa-Civic Center-Little Italy
499,4205,4241,both,north miznon,miznon USW LLC,North Miznon,161,west 72nd street,Manhattan,10023,"161  west 72nd street , Manhattan, NY",06/23/2020,40.778197999999996,-73.980632,Lincoln Square
500,4212,4248,sidewalk,Eataly,Eataly NY FIDI LLC,Eataly NY FIDI LLC,101,liberty street,Manhattan,10007,"101  liberty street, Manhattan, NY",06/23/2020,40.709765000000004,-74.01181600000001,Battery Park City-Lower Manhattan
501,4219,4255,sidewalk,Sip Sak,SipSak Inc,SipSak Inc,928,2nd Ave,Manhattan,10022,"928  2nd Ave, Manhattan, NY",06/23/2020,40.754437,-73.968829,Turtle Bay-East Midtown
502,4228,4264,sidewalk,ELI'S ESSENTIALS,EAT THIRD 79 LLC,ELI'S ESSENTIALS,1390,3RD AVE,Manhattan,10075,"1390  3RD AVE, Manhattan, NY",06/23/2020,40.774390999999994,-73.95723000000001,Upper East Side-Carnegie Hill
503,4229,4265,roadway,Frenchette,White Walker LLC,Frenchette,241,West Broadway,Manhattan,10013,"241 West Broadway, Manhattan, NY",06/23/2020,40.719745,-74.005887,SoHo-TriBeCa-Civic Center-Little Italy
504,4241,4277,sidewalk,Uva,"By The Glass, Inc",Uva,1486,Second Avenue,Manhattan,10075,"1486  Second Avenue, Manhattan, NY",06/23/2020,40.772334,-73.955773,Lenox Hill-Roosevelt Island
505,4242,4278,sidewalk,ELI'S ESSENTIALS,EAT THIRD 79 LLC,ELI'S ESSENTIALS,1390,3RD AVE,Manhattan,10075,"1390  3RD AVE, Manhattan, NY",06/23/2020,40.774390999999994,-73.95723000000001,Upper East Side-Carnegie Hill
506,4250,4286,sidewalk,Los Tacos No.1,LTN1 Church LLC,Los Tacos No.1,136,Church St.,Manhattan,10007,"136 Church St. , Manhattan, NY",06/23/2020,40.714217,-74.008513,SoHo-TriBeCa-Civic Center-Little Italy
507,4251,4287,sidewalk,Maya,Tonali Inc.,Maya,1191,1st Avenue,Manhattan,10065,"1191 1st Avenue, Manhattan, NY",06/23/2020,40.763059000000005,-73.959479,Lenox Hill-Roosevelt Island
