,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
473,6955,6999,both,AHIMSA GARDEN,SMALL PLATES INC,AHIMSA GARDEN,265,East 10th Street,Manhattan,10009,"265  East 10th Street, Manhattan, NY",07/02/2020,40.728357,-73.983425,East Village
474,6989,7033,sidewalk,Outback Steakhouse,"Outback Steakhouse of Florida, LLC",Outback Steakhouse,23 48,Bell Blvd,Queens,11360,"23 48  Bell Blvd, Queens, NY",07/02/2020,40.781674,-73.775999,Ft. Totten-Bay Terrace-Clearview
475,6990,7034,sidewalk,Shogun,Naomi Hibachi Inc,Shogun,111-16,Queens Blvd,Queens,11375,"111-16  Queens Blvd, Queens, NY",07/02/2020,40.718387,-73.837142,Forest Hills
476,6994,7038,both,The Summit Bar,Parallel Bar Inc.,The Summti Bar,133,Avenue C,Manhattan,10009,"133  Avenue C , Manhattan, NY",07/02/2020,40.724944,-73.978241,Lower East Side
477,7024,7065,both,Mekelburg's,"Hop, Stock & Barrel II LLC",Mekelburg's,293,Grand Avenue,Brooklyn,11238,"293 Grand Avenue, Brooklyn, NY",07/03/2020,40.687494,-73.96261899999999,Clinton Hill
478,7032,7076,sidewalk,Dr Smood,Dr Smood LLC,Dr Smood LLC,1151,Broadway,Manhattan,11101,"1151 Broadway, Manhattan, NY",07/03/2020,40.744195,-73.988946,Hudson Yards-Chelsea-Flatiron-Union Square
479,7036,7082,sidewalk,Beanstalk cafe,Beanstalk cafe INC,Beanstalk cafe INC,13-33,Jackson Ave,Queens,11101,"13-33 Jackson Ave, Queens, NY",07/03/2020,40.744546,-73.94876500000001,Hunters Point-Sunnyside-West Maspeth
480,7068,7120,both,Balade,Great Caterers LLC,Great Caterers LLC,208,First avenue,Manhattan,10009,"208  First avenue , Manhattan, NY",07/03/2020,40.730352,-73.983276,East Village
481,7090,7143,both,Nadezhda,Braha Holding Inc.,Braha Holding Inc.,64-06,108th street,Queens,11375,"64-06 108th street, Queens, NY",07/03/2020,40.732734,-73.849508,Forest Hills
482,7153,7206,both,Maya Taqueria,Dania Food 1 Corp,Maya Taqueria,637,Vanderbilt Avenue,Brooklyn,11238,"637 Vanderbilt Avenue , Brooklyn, NY",07/03/2020,40.678042,-73.968714,Prospect Heights
483,7187,7240,openstreets,Hatfields,SBC Holdings,Hatfields,40-05,Bell Blvd,Queens,11360,"40-05  Bell Blvd, Queens, NY",07/04/2020,40.764151,-73.771253,Bayside-Bayside Hills
484,7214,7267,both,Bangkok cuisine,BKK forest hills inc,Bangkok cuisine,107-18,70th road,Queens,11375,"107-18 70th road, Queens, NY",07/04/2020,40.721327,-73.845403,Forest Hills
485,7215,7268,sidewalk,Tuk Tuk,Thai LIC Inc,Tuk Tuk,4906,Vernon Blvd,Queens,11101,"4906 Vernon Blvd, Queens, NY",07/04/2020,40.743286,-73.95392700000001,Hunters Point-Sunnyside-West Maspeth
486,7216,7269,both,MeMe's Diner,MeMe's Diner,MeMe's Diner,657,Washington Ave,Brooklyn,11238,"657  Washington Ave, Brooklyn, NY",07/04/2020,40.677734,-73.963738,Prospect Heights
487,7219,7272,both,Ke Lai Le,Ke Lai Le,Ke Lai Le,791A,Washington Ave,Brooklyn,11238,"791A  Washington Ave, Brooklyn, NY",07/04/2020,40.672959999999996,-73.962815,Prospect Heights
488,7221,7274,sidewalk,No5nyc,"nova design lic, llc",no5nyc,35-43,37th street,Queens,11101,"35-43 37th street, Queens, NY",07/04/2020,40.755183,-73.924256,Astoria
489,7240,7293,sidewalk,5c Cafe and Cultural Center,5c Cafe and Cultural Center,5c Cafe and Cultural Center,68,Avenue C,Manhattan,10009,"68 Avenue C, Manhattan, NY",07/05/2020,40.722818,-73.979772,Lower East Side
490,7249,7302,sidewalk,The Stonebridge,Coffee 101 LLC,Coffee 101 LLC,14504,14th Avenue,Queens,11357,"14504 14th Avenue, Queens, NY",07/05/2020,40.786898,-73.82210699999999,Whitestone
491,7263,7316,both,Miss Lily's 7A,Seven A Cafe Inc,Miss Lily's 7A,109,Avenue A,Manhattan,10009,"109 Avenue A, Manhattan, NY",07/05/2020,40.725969,-73.98361,East Village
492,7288,7341,both,Maiella,RBT Restaurant LLC,Maiella,4610,center blvd,Queens,11101,"4610  center blvd, Queens, NY",07/05/2020,40.747056,-73.95640300000001,Hunters Point-Sunnyside-West Maspeth
493,7293,7346,both,Ninety 5 South,jadons inc,Ninety 5 South,778,Franklin ave,Brooklyn,11238,"778  Franklin ave, Brooklyn, NY",07/05/2020,40.671926,-73.957527,Crown Heights North
494,7328,7381,both,TOURNESOL RESTAURANT,caloune corp,TOURNESOL RESTAURANT,5012,VERNON BLVD,Queens,11101,"5012 VERNON BLVD, Queens, NY",07/06/2020,40.74257,-73.954176,Hunters Point-Sunnyside-West Maspeth
495,7331,7384,both,New Grand Buffet,"Oriental Enterprise I, Inc",New Grand Buffet,3445,48th Street,Queens,11101,"3445 48th Street, Queens, NY",07/06/2020,40.752637,-73.914885,Hunters Point-Sunnyside-West Maspeth
496,7346,7399,both,WOODBINES,4710 CAFE INC,WOODBINES,4710,VERNON BLVD,Queens,11101,"4710 VERNON BLVD, Queens, NY",07/06/2020,40.745149,-73.953301,Hunters Point-Sunnyside-West Maspeth
497,7363,7416,both,Coffee Spot,Coffee Spot INC,Coffee Spot,679,Classon Avenue,Brooklyn,11238,"679 Classon Avenue, Brooklyn, NY",07/06/2020,40.677046000000004,-73.95927900000001,Crown Heights North
498,7365,7418,sidewalk,Pizzeria Uno Chicago Bar & Grill,"NY Deep, LLC",Pizzeria Uno Chicago Bar & Grill,37-11,35th Avenue,Queens,11101,"37-11 35th Avenue, Queens, NY",07/06/2020,40.755802,-73.923519,Astoria
499,7375,7428,sidewalk,Wafels & Dinges,DeGeest LLC,Wafels & Dinges,15,E 2nd Street,Manhattan,10009,"15 E 2nd Street, Manhattan, NY",07/06/2020,40.725341,-73.991352,East Village
500,7377,7430,sidewalk,Wafels & Dinges,DeGeest LLC,Wafels & Dinges,15,Avenue B,Manhattan,10009,"15  Avenue B, Manhattan, NY",07/06/2020,40.721942999999996,-73.98348399999999,Lower East Side
501,7399,7452,both,Branded Saloon,"Branded Cattle Saloon, Inc.",Branded Saloon,603,Vanderbilt Avenue,Brooklyn,11238,"603 Vanderbilt Avenue, Brooklyn, NY",07/06/2020,40.679286,-73.968262,Prospect Heights
502,7411,7464,both,Spy C Cuisine Inc,Spy C Cuisine Inc,Spy C Cuisine,72-06,Austin Street,Queens,11357,"72-06 Austin Street, Queens, NY",07/06/2020,40.719198,-73.84230600000001,Forest Hills
503,7413,7466,both,ST ENDS,St Ends LLC,St Ends LLC,667,Franklin Avenue,Brooklyn,11238,"667 Franklin Avenue, Brooklyn, NY",07/06/2020,40.67565,-73.956158,Crown Heights North
504,7440,7493,sidewalk,Sushi Daizen,Sushi Daizen INC,Sushi Daizen INC,47-38,Vernon Blvd,Queens,11101,"47-38 Vernon Blvd , Queens, NY",07/06/2020,40.744601,-73.953489,Hunters Point-Sunnyside-West Maspeth
505,7470,7523,both,Villa Brasil Corp,Villa Brasil Corp,Villa Brasil Corp,4316,34th Avenue,Queens,11101,"4316 34th Avenue, Queens, NY",07/07/2020,40.75545,-73.91826400000001,Astoria
506,7544,7597,both,Blend,Cullen Partners LLC,Blend,47-04,Vernon Blvd,Queens,11101,"47-04 Vernon Blvd, Queens, NY",07/07/2020,40.745295,-73.953254,Hunters Point-Sunnyside-West Maspeth
