,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
72,6138,6178,sidewalk,Sabor A Mexico II,Cariely Restaurant Corp,Sabor A Mexico II,233,east 77th street,Manhattan,10454,"233 east 77th street, Manhattan, NY",06/28/2020,40.772615,-73.957401,Lenox Hill-Roosevelt Island
73,6148,6188,both,kalopsia restaurant,kalopsia restaurant corp,kalopsia restaurant corp,1324,jeromea ave,Bronx,10452,"1324 jeromea ave, Bronx, NY",06/28/2020,,,
74,6235,6275,sidewalk,MARIBELLA PARADISE RESTAURANT CORP,MARIBELLA PARADISE RESTAURANT CORP,MARIBELLA PARADISE RESTAURANT CORP,1460,MACOMBS RD,Bronx,10452,"1460 MACOMBS RD, Bronx, NY",06/29/2020,40.841519,-73.917735,Highbridge
75,6427,6468,both,Mi Mexico Bar restaurant Corp.,El Chicanito restaurant bar,El Chicanito restaurant bar,435,E. 153rd St.,Bronx,10455,"435  E. 153rd St., Bronx, NY",06/29/2020,40.818698,-73.915758,Melrose South-Mott Haven North
76,6434,6475,both,Mofongo el mocano restaurant,mofongo el mocano restaurant and lounge corp,mofongo el mocano restaurant and lounge corp,985,morris av,Bronx,10456,"985 morris av , Bronx, NY",06/30/2020,40.828506,-73.916855,East Concourse-Concourse Village
77,6454,6495,sidewalk,La Patrona Restaurant Corp,La Patrona Restaurant Corp,La Patrona Restaurant Corp,812,E. 149th Street,Bronx,10455,"812 E. 149th Street, Bronx, NY",06/30/2020,40.812581,-73.905962,Mott Haven-Port Morris
78,6553,6595,sidewalk,Mi Romance Ecuatoriano,Mi Romance Ecuatoriano Inc.,Mi Romance Ecuatoriano Inc.,524 A,Brook Ave.,Bronx,10455,"524 A  Brook Ave., Bronx, NY",06/30/2020,40.814575,-73.915153,Mott Haven-Port Morris
79,6555,6597,both,ANYELISA REST CORP.,ANYELISA REST CORP.,ANYELISA REST CORP.,28,EAST 167TH STREET,Bronx,10452,"28  EAST 167TH STREET , Bronx, NY",06/30/2020,40.835837,-73.921631,West Concourse
80,6593,6635,sidewalk,mamas place restaurant llc,Mamas place restaurant llc,Mamas place restaurant llc,514,E 138 st,Bronx,10454,"514 E 138 st, Bronx, NY",06/30/2020,40.807417,-73.91891899999999,Mott Haven-Port Morris
81,6603,6645,both,EL TIMBIRICHI RESTAURANT CORP.,EL TIMBIRICHI RESTAURANT CORP,EL TIMBIRICHI RESTAURANT CORP,168,EAST 174TH STREET,Bronx,10457,"168 EAST 174TH STREET, Bronx, NY",06/30/2020,40.844812,-73.909104,Mount Hope
82,6681,6723,both,"PAPAYE RESTAURANT, INC","PAPAYE RESTAURANT, INC","PAPAYE RESTAURANT, INC",196,MCLELLAN STREET,Bronx,10456,"196 MCLELLAN STREET, Bronx, NY",07/01/2020,,,
