,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude
132,Mi Pueblito,Mi Pueblito Inc,Mi Pueblito Inc,111 East,167 street,Bronx,10452,"111 East 167 street, Bronx, NY",07/20/2020,40.834957,-73.918994
133,TULARCITO BAKERY LLC,TULARCITO BAKERY LLC,TULARCITO BAKERY LLC,1328,JEROME AVE,Bronx,10452,"1328 JEROME AVE, Bronx, NY",07/20/2020,40.838632000000004,-73.91882700000001
134,CARIDAD SEA FOOD RESTAURANT CORP.,CARIDAD SEA FOOD RESTAURANT CORP.,CARIDAD SEA FOOD RESTAURANT CORP.,410,EAST TREMONT AVE,Bronx,10457,"410  EAST TREMONT AVE, Bronx, NY",07/21/2020,40.847596,-73.900487
135,El Despertar Marlene Inc.,El Despertar Marlene Inc.,El Despertar Marlene Inc.,849,Prospect Ave,Bronx,10459,"849  Prospect Ave, Bronx, NY",07/22/2020,40.820172,-73.901424
136,Solimar Grill Restaurant,Solimar Grill Restaurant,Solimar Grill Restaurant,1800,Archer Street,Bronx,10460,"1800  Archer Street, Bronx, NY",07/23/2020,40.837508,-73.867131
137,Seis Vecinos Restaurant,J&J Prospect Corp,Seis Vecinos Restaurant,640,Prospect Ave,Bronx,10455,"640 Prospect Ave, Bronx, NY",07/24/2020,40.815227,-73.903396
138,Seis Vecinos Restaurant,J&J Prospect Corp,Seis Vecnos Restaurant,640,Prospect Ave,Bronx,10455,"640 Prospect Ave, Bronx, NY",07/25/2020,40.815227,-73.903396
139,619 Bar & Restaurant El Salvadoreno,619 Bar & Restaurant El Salvadoreno Corp.,619 Bar & Restaurant El Salvadoreno Corp.,619,Melrose Avenue,Bronx,10455,"619 Melrose Avenue, Bronx, NY",07/26/2020,40.81773,-73.917028
140,Antojitos La Garnacha,Antojitos La Garnacha Corp,Antojitos La Garnacha Corp,8,E 183rd Street,Bronx,10453,"8 E 183rd Street, Bronx, NY",07/27/2020,40.858624,-73.903471
141,Hungry Bird,Mahek Limited Liability Company,Hungry Bird,980,Morris Avenue,Bronx,10456,"980 Morris Avenue, Bronx, NY",07/27/2020,40.828434,-73.91686999999999
142,LOS SAZONES LATINO CORP.,LOS SAZONES LATINO CORP.,LOS SAZONES LATINO CORP.,1048,WOODYCREST AVE,Bronx,10452,"1048  WOODYCREST AVE, Bronx, NY",07/27/2020,40.833529999999996,-73.927293
143,El Jaguar Restaurant Corp,El Jaguar Restaurant Corp,El Jaguar Restaurant,536,East 138th Street,Bronx,10454,"536 East 138th Street, Bronx, NY",07/28/2020,40.807087,-73.918154
144,Taco Bell Cantina,GFE RIVER AVENUE LLC,Taco Bell,880,River Avenue,Bronx,10452,"880 River Avenue, Bronx, NY",07/29/2020,40.828333,-73.925625
145,Don Chile Mexican Grill,Don Chile Mexican Grill Corp,Don Chile Mexican Grill Corp,801,Southern Boulevard,Bronx,10459,"801  Southern Boulevard , Bronx, NY",07/30/2020,40.816456,-73.896086
146,Don Chile Mexican Grill,Don Chile Mexican Grill Corp,Don Chile Mexican Grill Corp,801,Southern Boulevard,Bronx,10459,"801 Southern Boulevard, Bronx, NY",07/30/2020,40.816456,-73.896086
147,Seis Vecinos Restaurant,J&J Prospect Corp,Seis Vecinos Restaurant,640,Prospect Ave,Bronx,10455,"640 Prospect Ave, Bronx, NY",07/31/2020,40.815227,-73.903396
148,XOCHIMILCO FAMILY REST INC,XOCHIMILCO FAMILY REST INC,XOCHIMILCO FAMILY REST INC,653,MELROSE AVE,Bronx,10455,"653 MELROSE AVE, Bronx, NY",08/01/2020,40.818556,-73.916655
149,dunkin donuts,ANDHRA FOODS INC,dunkin donuts,1167 a,webster avenue,Bronx,10456,"1167 a  webster avenue, Bronx, NY",08/01/2020,40.831103000000006,-73.910297
150,dunkin donuts,BRONX 170 FOODS INC,dunkin donuts,140e,170th street,Bronx,10452,"140e 170th street, Bronx, NY",08/01/2020,40.839088000000004,-73.91475
151,dunkin donuts,BRONX BRUCKNER FOODS INC,dunkin donuts,114,bruckner blvd,Bronx,10454,"114 bruckner blvd, Bronx, NY",08/01/2020,40.804636,-73.922271
152,dunkin donuts,BRONX PROSPECT FOODS INC,dunkin donuts,839,prospect avenue,Bronx,10459,"839 prospect avenue, Bronx, NY",08/02/2020,40.820067,-73.90146700000001
153,dunkin donuts,BRONX BROOK FOODS INC,dunkin donuts,513 e,138th street,Manhattan,10454,"513 e 138th street, Manhattan, NY",08/02/2020,,
154,pastelillos house & deli,the pastelillos house &deli,the pastelillos house &deli,613,138 ST,Bronx,10454,"613 138 ST, Bronx, NY",08/02/2020,,
